País;IDH;ESCOLARIDADE;PIB PER CAPITA;Continente
iceland;0.972;13.90892628;69116.93736;Europa
norway;0.97;13.11796218;112710.0211;Europa
switzerland;0.97;13.94912109;81948.90177;Europa
denmark;0.962;13.0273206;76007.85669;Europa
germany;0.959;14.29637163;64053.22124;Europa
sweden;0.959;12.74032574;66102.08595;Europa
australia;0.958;12.86999989;58276.87643;Oceania
hong kong, china (sar);0.955;12.35000038;69435.75706;Ásia
netherlands;0.955;12.66994689;68344.30826;Europa
belgium;0.951;12.68965045;63582.47535;Europa
ireland;0.949;11.72499956;90884.63459;Europa
finland;0.948;12.97962547;57067.63693;Europa
singapore;0.946;11.98999977;111239.2291;Ásia
united kingdom;0.946;13.48999977;54371.58634;Europa
united arab emirates;0.94;12.98999977;71142.30475;Ásia
canada;0.939;13.86999989;54688.41729;América do Norte
liechtenstein;0.938;12.40995938;166811.6741;Europa
new zealand;0.938;12.88299807;47259.60137;Oceania
united states;0.938;13.90999985;73650.03077;América do Norte
korea (republic of);0.937;12.72219869;49726.45327;Ásia
slovenia;0.931;12.95120192;46360.80779;Europa
austria;0.93;12.36146506;63479.20843;Europa
japan;0.925;12.68404671;47774.60973;Ásia
malta;0.924;12.4207021;52155.07487;Europa
luxembourg;0.922;12.58937195;85461.24833;Europa
france;0.92;11.7656677;55060.16038;Europa
israel;0.919;13.53459474;48050.11176;Ásia
spain;0.918;10.75612495;46008.44221;Europa
czechia;0.915;12.96318214;45889.01401;Europa
italy;0.915;10.82812827;52388.88306;Europa
san marino;0.915;11.35999966;64706.37558;Europa
andorra;0.913;11.60999966;64631.0749;Europa
cyprus;0.913;12.5573721;45394.15625;Ásia
greece;0.908;11.55385642;35760.74915;Europa
poland;0.906;13.20854242;42217.63778;Europa
estonia;0.905;13.56216597;40880.93044;Europa
saudi arabia;0.9;11.60642778;50298.91363;Ásia
bahrain;0.899;11.13000011;52818.79538;Ásia
lithuania;0.895;13.61069239;41916.46579;Europa
portugal;0.89;9.703254412;41063.92568;Europa
croatia;0.889;12.0951217;41379.89027;Europa
latvia;0.889;13.40943983;37997.82233;Europa
qatar;0.886;10.77000046;105353.268;Ásia
slovakia;0.88;13.10320397;36792.98874;Europa
chile;0.878;11.29105394;28047.1698;América do Sul
hungary;0.87;12.33162229;37236.07462;Europa
argentina;0.865;11.18458184;25876.05307;América do Sul
montenegro;0.862;12.77392572;28026.3304;Europa
uruguay;0.862;10.53999996;28649.82199;América do Sul
oman;0.858;11.89000034;36096.04123;Ásia
türkiye;0.853;8.98624366;34506.98065;Ásia
kuwait;0.852;7.566007112;56612.04699;Ásia
antigua and barbuda;0.851;11.64750004;27386.51793;América do Norte
seychelles;0.848;11.19995;29195.03792;África
bulgaria;0.845;11.45453092;32174.93003;Europa
romania;0.845;11.55000019;39374.25372;Europa
georgia;0.844;12.69999981;20752.57009;Ásia
saint kitts and nevis;0.84;10.8494008;29105.43743;América do Norte
panama;0.839;10.83375095;34384.56813;América do Norte
brunei darussalam;0.837;9.282;75826.87338;Ásia
kazakhstan;0.837;12.54717423;30988.52844;Ásia
costa rica;0.833;8.844752499;23417.21315;América do Norte
serbia;0.833;11.64171812;23114.80953;Europa
russian federation;0.832;12.40999985;39221.68359;Europa/Ásia
belarus;0.824;12.33537298;26724.871;Europa
bahamas;0.82;12.81441904;30974.68074;América do Norte
malaysia;0.819;11.09000015;32553.09108;Ásia
north macedonia;0.815;10.22999954;22128.39461;Europa
armenia;0.811;11.34497821;20220.72319;Ásia
barbados;0.811;9.92835689;17327.52047;América do Norte
albania;0.81;10.17531099;17627.39404;Europa
trinidad and tobago;0.807;10.79275036;27000.14511;América do Norte
mauritius;0.806;10.10332754;27279.96011;África
bosnia and herzegovina;0.804;10.97000027;19827.48588;Europa
iran (islamic republic of);0.799;10.84671198;16095.77169;Ásia
saint vincent and the grenadines;0.798;11.29534968;17246.63609;América do Norte
thailand;0.798;9.039999962;20569.90176;Ásia
china;0.797;8.036181597;22029.22253;Ásia
peru;0.794;10.15465159;14338.70977;América do Sul
grenada;0.791;9.446399307;14349.02804;América do Norte
azerbaijan;0.789;11.06999969;20667.95729;Ásia
mexico;0.789;9.349510934;21812.65566;América do Norte
colombia;0.788;9.031581597;18665.94967;América do Sul
brazil;0.786;8.425371752;18011.28546;América do Sul
palau;0.786;13.29903477;16034.51036;Oceania
moldova (republic of);0.785;11.82999992;15866.54207;Europa
ukraine;0.779;11.12273899;16933.14453;Europa
ecuador;0.777;8.970000267;13986.39698;América do Sul
dominican republic;0.776;9.444525756;22023.51059;América do Norte
guyana;0.776;8.702429672;46959.25173;América do Sul
sri lanka;0.776;10.77000046;12615.60045;Ásia
tonga;0.769;10.91494895;7438.210092;Oceania
maldives;0.766;7.410372866;19317.31882;Ásia
viet nam;0.766;8.979999542;13032.63533;Ásia
turkmenistan;0.764;11.20780193;17715.58167;Ásia
algeria;0.763;7.416386987;15114.17175;África
cuba;0.762;10.63148903;8415.411708;América do Norte
dominica;0.761;10.12508965;16001.12551;América do Norte
paraguay;0.756;8.930653385;15252.22016;América do Sul
egypt;0.754;10.13611962;16218.13521;África
jordan;0.754;10.23999977;9221.872358;Ásia
lebanon;0.752;10.36999989;11298.88724;Ásia
saint lucia;0.748;8.614167055;20899.78193;América do Norte
mongolia;0.747;9.420000076;14787.08237;Ásia
tunisia;0.746;7.594920158;12011.38785;África
south africa;0.741;11.60999966;13693.98858;África
uzbekistan;0.74;11.90999985;8825.730893;Ásia
bolivia (plurinational state of);0.733;10.02122319;9445.244868;América do Sul
gabon;0.733;9.686;18854.06151;África
marshall islands;0.733;11.6366644;7223.860831;Oceania
botswana;0.731;10.478;16983.77103;África
fiji;0.731;10.37096977;12843.15889;Oceania
indonesia;0.728;8.6972232;13700.12989;Ásia
suriname;0.722;8.429759582;17344.38691;América do Sul
belize;0.721;8.762290001;12343.07814;América do Norte
libya;0.721;7.77860643;19831.43236;África
jamaica;0.72;9.959910393;10056.98531;América do Norte
kyrgyzstan;0.72;12.06588858;6078.117589;Ásia
philippines;0.72;9.977239609;10731.20422;Ásia
morocco;0.71;6.198;8652.880859;África
venezuela (bolivarian republic of);0.709;9.678385373;7157.08;América do Sul
samoa;0.708;11.33298361;5952.016925;Oceania
nicaragua;0.706;9.933019638;6881.479609;América do Norte
nauru;0.703;9.448637676;19642.3777;Oceania
bhutan;0.698;5.835794662;13842.80353;Ásia
eswatini (kingdom of);0.695;8.685199738;9919.08523;África
iraq;0.695;6.780046287;12653.52469;Ásia
tajikistan;0.691;11.27094825;5746.568969;Ásia
tuvalu;0.689;10.76746107;7005.520781;Oceania
bangladesh;0.685;6.789999962;8497.658639;Ásia
india;0.685;6.880000114;9046.756336;Ásia
el salvador;0.678;7.300000191;10594.84201;América do Norte
equatorial guinea;0.674;8.281327014;12762.46845;África
palestine, state of;0.674;10.13000011;6547.098635;Ásia
cabo verde;0.668;6.09003905;8165.379172;África
namibia;0.665;7.273146745;10916.60872;África
guatemala;0.662;5.847300053;12458.604;América do Norte
congo;0.649;8.322644792;5902.599066;África
honduras;0.645;7.510229074;6064.785783;América do Norte
kiribati;0.644;9.128581569;4947.280426;Oceania
sao tome and principe;0.637;5.987559175;5583.423335;África
timor-leste;0.634;6.226580551;5434.594692;Ásia
ghana;0.628;7.107210159;6846.352204;África
kenya;0.628;8.624710083;5608.296066;África
nepal;0.622;4.50372982;4725.930613;Ásia
vanuatu;0.621;7.183209727;3403.690193;Oceania
lao people's democratic republic;0.617;6.06024616;8106.153218;Ásia
angola;0.616;5.956173009;6631.276544;África
micronesia (federated states of);0.615;7.33252398;4245.878243;Oceania
myanmar;0.609;6.380000114;4918.810577;Ásia
cambodia;0.606;5.197100163;4931.016842;Ásia
comoros;0.603;6.006840229;3481.12144;África
zimbabwe;0.598;8.930847216;3511.463215;África
zambia;0.595;7.397408543;3446.675821;África
cameroon;0.588;6.574180412;4746.26582;África
solomon islands;0.584;5.8796802;2777.266749;Oceania
côte d'ivoire;0.582;4.869999886;6735.416265;África
uganda;0.582;6.323663082;2736.410021;África
rwanda;0.578;4.880000114;2970.559461;África
papua new guinea;0.576;4.962531078;3970.647707;Oceania
togo;0.571;5.861114619;2855.963828;África
syrian arab republic;0.564;5.935520062;3917.702385;Ásia
mauritania;0.563;4.852025862;6267.470808;África
nigeria;0.56;7.585969925;5569.374975;África
tanzania (united republic of);0.555;6.065350056;3514.632861;África
haiti;0.554;5.3822999;2934.925802;América do Norte
lesotho;0.55;7.729883486;3029.3857;África
pakistan;0.544;4.316987038;5501.132932;Ásia
senegal;0.53;2.934554012;4202.030729;África
gambia;0.524;4.674727154;2812.017602;África
congo (democratic republic of the);0.522;7.378561086;1431.047931;África
malawi;0.517;5.243740082;1633.692615;África
benin;0.515;3.194200039;3805.527516;África
guinea-bissau;0.514;3.673035;2403.059237;África
djibouti;0.513;3.95041503;6367.606026;África
sudan;0.511;3.962;2810.312012;África
liberia;0.51;6.169891955;1537.85939;África
eritrea;0.503;5.09136442;2029.070062;África
guinea;0.5;2.486339025;3494.347723;África
ethiopia;0.497;2.402539813;2795.506984;África
afghanistan;0.496;2.514790058;1971.549458;Ásia
mozambique;0.493;4.590489864;1355.767076;África
madagascar;0.487;4.592520237;1655.764683;África
yemen;0.47;5.484149933;1018.20058;Ásia
sierra leone;0.467;3.535297609;1713.727772;África
burkina faso;0.459;2.266550064;2390.527778;África
burundi;0.439;3.473935556;858.9155681;África
mali;0.419;1.629999995;2341.588118;África
niger;0.419;1.412289341;1590.18796;África
chad;0.416;2.334984892;1748.000992;África
central african republic;0.414;3.989431459;1099.860681;África
somalia;0.404;1.899999976;1474.738459;África
south sudan;0.388;5.730000019;688.3472771;África
